epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,402.393,1.65834,6.49271,0.4203,1.40722,2.18128,0.91988,0.82609,0.88438,0.35548,0.19104,0.11594,0.03575,0.00665,1.97175,7.05977,0.26816,1.21616,2.61256,0.000686798,0.000686798,0.000686798
29,415.365,1.65441,6.55931,0.44217,1.45442,2.17269,0.90744,0.76812,0.85091,0.30382,0.20178,0.10145,0.03699,0.00571,2.07844,6.94859,0.26531,1.25389,2.79482,0.000685809,0.000685809,0.000685809
30,429.237,1.70438,6.42227,0.40797,1.49305,2.24368,0.84434,0.81159,0.86235,0.43741,0.26947,0.08696,0.05103,0.01147,1.74552,6.67727,0.27672,1.15241,2.46362,0.000684785,0.000684785,0.000684785
31,442.36,1.59854,6.4826,0.41475,1.38476,2.14665,0.84614,0.85507,0.8901,0.43587,0.19778,0.14493,0.05771,0.00772,1.60091,6.46399,0.32643,1.03922,2.26703,0.000683726,0.000683726,0.000683726
32,455.419,1.62513,6.26869,0.42251,1.43879,2.18991,0.90704,0.84848,0.92099,0.34892,0.24823,0.22973,0.09155,0.0136,1.9918,6.48236,0.26182,1.2588,2.64207,0.000682633,0.000682633,0.000682633
33,468.304,1.61481,6.40614,0.40112,1.36145,2.14072,0.85398,0.93238,0.94409,0.43317,0.26651,0.21739,0.10049,0.01349,1.79492,6.24713,0.24438,1.06388,2.42141,0.000681505,0.000681505,0.000681505
34,481.589,1.59325,6.39249,0.39623,1.36118,2.1034,0.9407,0.92754,0.9572,0.37966,0.19034,0.18841,0.04219,0.00691,1.97518,6.52895,0.27074,1.04364,2.64859,0.000680343,0.000680343,0.000680343
35,495.017,1.56214,6.21953,0.40227,1.37213,2.05985,0.88232,0.86957,0.9246,0.42279,0.20851,0.18841,0.05455,0.00831,1.77739,6.38821,0.24367,1.10929,2.43221,0.000679146,0.000679146,0.000679146
36,509.765,1.61663,6.54454,0.41015,1.40656,2.1429,0.93088,0.76812,0.90718,0.39178,0.28885,0.18841,0.09776,0.01327,1.88948,6.36904,0.23375,1.1365,2.5981,0.000677915,0.000677915,0.000677915
37,523.833,1.55453,6.3468,0.42994,1.2934,2.08601,0.8888,0.7971,0.87442,0.4451,0.19792,0.15942,0.04547,0.00774,1.66986,6.3238,0.23768,1.07187,2.36339,0.000676651,0.000676651,0.000676651
38,537.929,1.55555,6.18248,0.38956,1.33862,2.07731,0.91363,0.76656,0.87481,0.39011,0.28152,0.23188,0.12204,0.01964,1.90514,6.53364,0.25975,1.10975,2.56768,0.000675352,0.000675352,0.000675352
39,551.74,1.60779,6.14945,0.40916,1.38577,2.12555,0.90918,0.81159,0.89736,0.4332,0.28297,0.23188,0.11872,0.02221,1.66646,6.33467,0.24278,1.04319,2.3241,0.000674019,0.000674019,0.000674019
40,566.105,1.57971,6.39191,0.40607,1.40732,2.12683,0.90947,0.87365,0.94716,0.46246,0.32833,0.24638,0.15661,0.02156,1.64828,6.25096,0.25965,0.92727,2.2633,0.000672653,0.000672653,0.000672653
41,580.113,1.5721,6.20422,0.39872,1.34138,2.09989,0.90655,0.88406,0.9374,0.43756,0.2997,0.28986,0.16145,0.02279,1.69198,6.211,0.27828,1.08305,2.32454,0.000671254,0.000671254,0.000671254
42,593.467,1.56727,6.1397,0.40741,1.31806,2.09086,0.95233,0.84058,0.93735,0.42209,0.24897,0.2029,0.07712,0.0148,1.6752,6.23915,0.24857,0.94922,2.33011,0.000669821,0.000669821,0.000669821
43,606.458,1.56358,6.05245,0.40398,1.3631,2.08338,0.92941,0.82609,0.8962,0.40035,0.33211,0.27536,0.12139,0.02141,1.81177,6.10532,0.23387,0.97268,2.4621,0.000668355,0.000668355,0.000668355
44,620.702,1.54198,6.20735,0.39908,1.37747,2.09168,0.89103,0.86957,0.92078,0.47688,0.34982,0.30435,0.15483,0.02816,1.50539,5.84308,0.23488,0.92771,2.17492,0.000666856,0.000666856,0.000666856
45,633.953,1.52312,6.08368,0.38101,1.28592,2.07345,0.81911,0.91881,0.93069,0.43006,0.35653,0.28986,0.13939,0.0251,1.80769,6.02286,0.22892,0.88091,2.46724,0.000665324,0.000665324,0.000665324
46,647.089,1.5787,5.97658,0.37601,1.34169,2.07691,0.87038,0.87587,0.91119,0.47508,0.3335,0.31884,0.14081,0.01905,1.55414,6.16133,0.24477,0.91096,2.22328,0.00066376,0.00066376,0.00066376
47,659.863,1.58505,6.10182,0.37992,1.32692,2.10052,0.81187,0.84058,0.8888,0.45741,0.29518,0.24638,0.13554,0.01986,1.64101,6.05256,0.24087,0.99946,2.27186,0.000662163,0.000662163,0.000662163
48,673.158,1.50921,5.97492,0.38818,1.28912,2.04426,0.88022,0.85206,0.92404,0.41035,0.27834,0.26087,0.10795,0.0195,1.9758,6.07801,0.31248,0.95343,2.68165,0.000660533,0.000660533,0.000660533
49,686.003,1.50496,5.90386,0.39128,1.27617,2.05428,0.90815,0.89855,0.92912,0.42361,0.24894,0.24638,0.08939,0.01752,1.83278,6.15562,0.2489,0.89933,2.51247,0.000658872,0.000658872,0.000658872
50,699.074,1.50543,6.08084,0.38731,1.32967,2.05783,0.96248,0.89855,0.96528,0.44182,0.25289,0.26087,0.09149,0.01438,1.80959,6.14849,0.23273,0.94438,2.51089,0.000657179,0.000657179,0.000657179
51,712.375,1.50767,6.01481,0.37806,1.2643,2.01789,0.89562,0.87047,0.95031,0.49447,0.25082,0.27536,0.1122,0.02155,1.64261,6.08703,0.22003,0.92903,2.3262,0.000655453,0.000655453,0.000655453
